ISO8601,fromDate,toDate,bedtime,waketime,inBed,awake,fellAsleepIn,sessions,asleep,notes,asleepAvg7,efficiency,efficiencyAvg7,quality,qualityAvg7,deep,deepAvg7,sleepBPM,sleepBPMAvg7,dayBPM,dayBPMAvg7,wakingBPM,wakingBPMAvg7,hrv,hrvAvg7,sleepHRV,sleepHRVAvg7,SpO2Avg,SpO2Min,SpO2Max,respAvg,respMin,respMax,apnea,tags
2024-01-01T20:59:59-05:00,"Sunday, Dec 31, 2023","Monday, Jan 1, 2024",2024-01-01 03:00:00,2024-01-01 11:26:00,08:26:00,00:11:00,00:00:00,1,08:15:00,,07:47:17,97.8,96.2,05:31:32,05:10:01,02:45:00,02:31:05,63.9,62.1,82.1,83.3,60.0,59.3,92,115,57,62,97.2,96,100,,,,,
2024-01-02T20:59:59-05:00,"Monday, Jan 1, 2024","Tuesday, Jan 2, 2024",2024-01-02 01:00:00,2024-01-02 07:30:00,06:30:00,00:00:00,00:00:00,1,06:30:00,,07:40:34,100.0,97.1,03:58:24,05:08:30,01:30:00,02:31:28,62.2,62.5,87.7,84.4,55.0,59.3,119,114,70,62,96.8,95,98,,,,,
2024-01-03T20:59:59-05:00,"Tuesday, Jan 2, 2024","Wednesday, Jan 3, 2024",2024-01-03 01:22:00,2024-01-03 10:00:00,08:38:00,00:12:00,00:00:00,1,08:26:00,,07:49:25,97.7,97.8,05:45:41,05:13:15,02:28:49,02:29:28,63.6,62.4,78.8,83.5,60.0,58.4,133,123,78,67,96.9,94,98,,,,,
2024-01-04T20:59:59-05:00,"Wednesday, Jan 3, 2024","Thursday, Jan 4, 2024",2024-01-04 01:39:00,2024-01-04 12:02:00,10:23:00,00:49:00,00:00:00,1,09:34:00,,08:14:25,92.1,96.8,07:02:06,05:36:43,03:59:10,02:43:07,63.9,62.6,75.6,81.9,64.0,59.3,174,132,89,70,96.7,95,99,,,,,
2024-01-05T20:59:59-05:00,"Thursday, Jan 4, 2024","Friday, Jan 5, 2024",2024-01-05 04:29:00,2024-01-05 11:36:00,07:07:00,00:11:00,00:00:00,1,06:56:00,,08:06:25,97.4,97.9,04:31:40,05:29:05,02:28:34,02:41:09,64.1,62.9,77.9,81.4,62.0,60.6,118,132,66,71,96.6,95,97,,,,,
2024-01-06T20:59:59-05:00,"Friday, Jan 5, 2024","Saturday, Jan 6, 2024",2024-01-06 02:30:00,2024-01-06 11:01:00,08:31:00,00:00:00,00:00:00,1,08:31:00,,08:17:08,100.0,97.9,06:00:25,05:38:24,02:15:16,02:41:48,63.5,63.1,82.0,80.2,58.0,60.3,112,132,65,71,97.0,94,100,,,,,
2024-01-07T20:59:59-05:00,"Saturday, Jan 6, 2024","Sunday, Jan 7, 2024",2024-01-07 03:19:00,2024-01-07 12:13:00,08:54:00,00:00:00,00:00:00,1,08:54:00,,08:09:25,100.0,97.9,05:42:11,05:30:17,01:58:40,02:29:21,66.0,63.9,80.4,80.6,63.0,60.3,122,124,68,70,96.5,95,97,,,,,
2024-01-08T20:59:59-05:00,"Sunday, Jan 7, 2024","Monday, Jan 8, 2024",2024-01-08 03:38:00,2024-01-08 12:54:00,09:16:00,00:34:00,00:00:00,1,08:42:00,,08:13:17,93.9,97.3,05:44:29,05:32:08,02:44:03,02:29:13,62.7,63.7,78.5,80.1,63.0,60.7,160,134,77,73,96.5,95,99,,,,,
2024-01-09T20:59:59-05:00,"Monday, Jan 8, 2024","Tuesday, Jan 9, 2024",2024-01-09 03:23:00,2024-01-09 11:17:00,07:54:00,00:00:00,00:00:00,1,07:54:00,,08:25:17,100.0,97.3,05:12:37,05:42:44,02:28:08,02:37:31,60.9,63.5,88.2,80.2,59.0,61.3,143,137,76,74,96.7,95,98,,,,,
2024-01-10T20:59:59-05:00,"Tuesday, Jan 9, 2024","Wednesday, Jan 10, 2024",2024-01-10 02:16:00,2024-01-10 11:30:00,09:14:00,00:56:00,00:00:00,1,08:18:00,,08:24:08,89.9,96.2,05:34:27,05:41:08,02:35:38,02:38:29,61.9,63.3,82.8,80.8,62.0,61.6,121,136,43,69,96.6,96,98,,,,,
2024-01-11T20:59:59-05:00,"Wednesday, Jan 10, 2024","Thursday, Jan 11, 2024",2024-01-11 02:30:00,2024-01-11 11:47:00,09:17:00,00:21:00,00:00:00,1,08:56:00,,08:18:42,96.2,96.8,06:34:19,05:37:10,02:53:25,02:29:06,65.0,63.4,91.3,83.0,62.0,61.3,67,120,49,64,96.7,94,98,,,,,
2024-01-12T20:59:59-05:00,"Thursday, Jan 11, 2024","Friday, Jan 12, 2024",2024-01-12 03:00:00,2024-01-12 10:00:00,07:00:00,00:00:00,00:00:00,1,07:00:00,,08:19:17,100.0,97.1,04:57:24,05:40:50,02:45:00,02:31:27,63.9,63.4,82.9,83.7,60.0,61.0,60,112,42,60,97.0,96,98,,,,,
2024-01-13T20:59:59-05:00,"Friday, Jan 12, 2024","Saturday, Jan 13, 2024",2024-01-13 01:58:00,2024-01-13 09:45:00,07:47:00,00:22:00,00:00:00,1,07:25:00,,08:09:51,95.3,96.5,05:00:20,05:32:15,02:28:20,02:33:19,65.4,63.7,91.6,85.1,58.0,61.0,112,112,64,60,96.3,95,98,,,,,
2024-01-14T20:59:59-05:00,"Saturday, Jan 13, 2024","Sunday, Jan 14, 2024",2024-01-14 00:31:00,2024-01-14 08:49:00,08:18:00,00:01:00,00:00:00,1,08:17:00,,08:04:34,99.8,96.4,04:59:08,05:26:06,01:33:11,02:29:40,63.4,63.3,82.8,85.4,59.0,60.4,164,118,72,61,96.2,94,98,,,,,
2024-01-15T20:59:59-05:00,"Sunday, Jan 14, 2024","Monday, Jan 15, 2024",2024-01-15 02:41:00,2024-01-15 07:59:00,05:18:00,00:20:00,00:00:00,1,04:58:00,Night before leaving for Europe,07:32:34,93.7,96.4,03:55:37,05:10:33,02:29:00,02:27:31,61.2,63.1,,,57.0,59.6,140,115,60,58,97.4,96,99,,,,,
2024-01-16T20:59:59-05:00,"Monday, Jan 15, 2024","Tuesday, Jan 16, 2024",,,,,,,00:00:00,Traveling to Europe,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-17T20:59:59-05:00,"Tuesday, Jan 16, 2024","Wednesday, Jan 17, 2024",2024-01-16 22:09:00,2024-01-17 13:18:00,,,,,14:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-18T20:59:59-05:00,"Wednesday, Jan 17, 2024","Thursday, Jan 18, 2024",2024-01-17 21:55:00,2024-01-18 07:30:00,,,,,05:02:00,Adjusting to jet lag,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-19T20:59:59-05:00,"Thursday, Jan 18, 2024","Friday, Jan 19, 2024",2024-01-18 23:15:00,2024-01-19 07:45:00,,,,,08:29:00,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-20T20:59:59-05:00,"Friday, Jan 19, 2024","Saturday, Jan 20, 2024",2024-01-20 01:45:00,2024-01-20 11:30:00,,,,,09:45:00,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-21T20:59:59-05:00,"Saturday, Jan 20, 2024","Sunday, Jan 21, 2024",2024-01-21 01:59:00,2024-01-21 11:30:00,,,,,09:31:00,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-22T20:59:59-05:00,"Sunday, Jan 21, 2024","Monday, Jan 22, 2024",2024-01-22 01:15:00,2024-01-22 08:00:00,,,,,06:45:00,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-23T20:59:59-05:00,"Monday, Jan 22, 2024","Tuesday, Jan 23, 2024",2024-01-23 01:10:00,2024-01-23 07:30:00,,,,,06:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-24T20:59:59-05:00,"Tuesday, Jan 23, 2024","Wednesday, Jan 24, 2024",2024-01-24 00:45:00,2024-01-24 08:57:00,,,,,08:12:00,"CMS visit, so I could wake up later",,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-25T20:59:59-05:00,"Wednesday, Jan 24, 2024","Thursday, Jan 25, 2024",2024-01-25 00:40:00,2024-01-25 07:35:00,,,,,06:55:00,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-26T20:59:59-05:00,"Thursday, Jan 25, 2024","Friday, Jan 26, 2024",2024-01-25 23:24:00,1/26/2024 7:30:00 AM,,,,,06:39:00,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-27T20:59:59-05:00,"Friday, Jan 26, 2024","Saturday, Jan 27, 2024",2024-01-27 00:46:00,2024-01-27 07:45:00,,,,,06:59:00,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-28T20:59:59-05:00,"Saturday, Jan 27, 2024","Sunday, Jan 28, 2024",2024-01-28 01:00:00,2024-01-28 10:30:00,,,,,09:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-29T20:59:59-05:00,"Sunday, Jan 28, 2024","Monday, Jan 29, 2024",2024-01-28 22:35:00,2024-01-29 07:35:00,,,,,09:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-30T20:59:59-05:00,"Monday, Jan 29, 2024","Tuesday, Jan 30, 2024",2024-01-29 23:55:00,2024-01-30 07:28:00,,,,,07:33:00,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-31T20:59:59-05:00,"Tuesday, Jan 30, 2024","Wednesday, Jan 31, 2024",2024-01-30 23:57:00,2024-01-31 07:27:00,,,,,07:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-01T20:59:59-05:00,"Wednesday, Jan 31, 2024","Thursday, Feb 1, 2024",2024-01-31 23:45:00,2024-02-01 07:35:00,,,,,07:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,
