ISO8601,fromDate,toDate,bedtime,waketime,inBed,awake,fellAsleepIn,sessions,asleep,notes,asleepAvg7,efficiency,efficiencyAvg7,quality,qualityAvg7,deep,deepAvg7,sleepBPM,sleepBPMAvg7,dayBPM,dayBPMAvg7,wakingBPM,wakingBPMAvg7,hrv,hrvAvg7,sleepHRV,sleepHRVAvg7,SpO2Avg,SpO2Min,SpO2Max,respAvg,respMin,respMax,apnea,tags
2024-05-19T20:59:59-04:00,"Saturday, May 18, 2024","Sunday, May 19, 2024",2024-05-18 21:40:00,2024-05-19 07:48:00,10:08:00,00:11:00,00:00:00,1,10:08:00,Day off,08:33:25,98.2,92.7,07:35:28,06:13:24,02:59:06,02:46:35,61.5,62.6,83.5,81.9,59.0,62.4,42,98,39,80,96.8,95,98,,,,,
2024-05-20T20:59:59-04:00,"Sunday, May 19, 2024","Monday, May 20, 2024",2024-05-19 23:31:00,2024-05-20 08:24:00,08:53:00,00:00:00,00:00:00,1,08:53:00,Day off,08:46:42,100.0,92.7,06:05:11,06:19:12,02:17:03,02:38:56,60.9,62.3,79.6,81.2,58.0,61.6,89,103,58,82,97.3,95,98,,,,,
2024-05-21T20:59:59-04:00,"Monday, May 20, 2024","Tuesday, May 21, 2024",2024-05-20 23:42:00,2024-05-21 08:45:00,09:03:00,00:00:00,00:00:00,1,09:03:00,Day off,08:04:08,100.0,93.0,05:54:00,05:48:01,01:42:44,02:27:39,59.3,61.8,86.4,81.0,67.0,62.3,43,92,38,73,97.2,96,99,,,,,
2024-05-22T20:59:59-04:00,"Tuesday, May 21, 2024","Wednesday, May 22, 2024",2024-05-21 23:32:00,2024-05-22 08:50:00,09:18:00,00:00:00,00:00:00,1,09:18:00,Day off,08:22:08,100.0,93.0,06:07:17,05:50:35,02:30:49,02:18:20,60.3,61.7,87.0,82.6,61.0,62.0,84,90,53,67,96.9,94,98,,,,,
2024-05-23T20:59:59-04:00,"Wednesday, May 22, 2024","Thursday, May 23, 2024",2024-05-23 0:09:00,2024-05-23 08:00:00,07:51:00,00:00:00,00:00:00,1,07:51:00,,08:20:51,100.0,93.0,05:32:49,05:52:29,02:27:11,02:22:13,61.3,61.4,80.2,83.0,59.0,61.4,56,81,53,61,96.1,94,98,,,,,
2024-05-24T20:59:59-04:00,"Thursday, May 23, 2024","Friday, May 24, 2024",2024-05-23 23:43:00,2024-05-24 08:15:00,08:32:00,00:00:00,00:00:00,1,08:32:00,,08:19:00,100.0,93.0,05:58:24,05:48:25,02:40:55,02:17:21,60.0,61.2,81.2,83.3,63.0,62.1,107,86,84,62,95.8,94,98,,,,,
2024-05-25T20:59:59-04:00,"Friday, May 24, 2024","Saturday, May 25, 2024",2024-05-25 0:08:00,2024-05-25 10:04:00,09:56:00,00:00:00,00:00:00,1,09:56:00,,09:04:17,100.0,99.7,06:54:25,06:18:13,02:43:54,02:28:48,61.6,60.7,79.1,82.4,54.0,60.1,120,77,90,59,95.6,93,97,,,,,
2024-05-26T20:59:59-04:00,"Saturday, May 25, 2024","Sunday, May 26, 2024",2024-05-26 0:23:00,2024-05-26 08:15:00,07:52:00,00:00:00,00:00:00,1,07:52:00,,08:46:25,100.0,100.0,05:47:51,06:02:51,02:57:00,02:28:30,61.4,60.7,83.0,82.4,60.0,60.3,96,85,73,64,96.2,95,98,,,,,
2024-05-27T20:59:59-04:00,"Sunday, May 26, 2024","Monday, May 27, 2024",2024-05-27 0:26:00,2024-05-27 07:45:00,07:19:00,00:00:00,00:00:00,1,07:19:00,,08:33:00,100.0,100.0,05:41:22,05:59:27,02:40:58,02:31:55,62.9,60.9,81.1,82.6,68.0,61.7,116,89,93,69,96.5,95,98,,,,,
2024-05-28T20:59:59-04:00,"Monday, May 27, 2024","Tuesday, May 28, 2024",2024-05-28 0:15:00,2024-05-28 07:36:00,07:21:00,00:00:00,00:00:00,1,07:21:00,,08:18:25,100.0,100.0,05:35:36,05:56:49,02:47:17,02:41:09,60.7,61.2,76.7,81.2,54.0,59.9,76,93,56,72,96.1,95,97,,,,,
2024-05-29T20:59:59-04:00,"Tuesday, May 28, 2024","Wednesday, May 29, 2024",2024-05-29 0:38:00,2024-05-29 08:15:00,07:37:00,00:01:00,00:00:00,1,07:37:00,,08:03:51,99.8,100.0,05:28:42,05:51:19,03:17:36,02:47:50,61.0,61.3,76.3,79.7,66.0,60.6,50,89,47,71,96.8,95,100,,,,,
2024-05-30T20:59:59-04:00,"Wednesday, May 29, 2024","Thursday, May 30, 2024",2024-05-29 23:54:00,2024-05-30 07:25:00,07:31:00,00:00:00,00:00:00,1,07:31:00,,08:01:00,100.0,100.0,05:25:26,05:50:15,02:00:16,02:43:59,61.5,61.3,79.0,79.5,59.0,60.6,69,90,67,73,95.5,94,98,,,,,
2024-05-31T20:59:59-04:00,"Thursday, May 30, 2024","Friday, May 31, 2024",2024-05-31 0:30:00,2024-05-31 09:00:00,08:30:00,00:00:00,00:00:00,1,08:30:00,Day off,08:00:42,100.0,100.0,06:00:08,05:50:30,02:00:00,02:38:08,61.6,61.5,80.6,79.4,63.0,60.6,92,88,72,71,96.2,95,97,,,,,
2024-06-01T20:59:59-04:00,"Friday, May 31, 2024","Saturday, Jun 1, 2024",2024-06-01 1:07:00,2024-06-01 08:57:00,07:50:00,00:21:00,00:00:00,1,07:50:00,,07:39:42,95.5,99.3,05:07:55,05:35:17,02:24:50,02:35:25,61.1,61.5,,,63.0,61.9,160,94,100,73,95.9,93,99,,,,,
